"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Capetinga (MG)";"267";"3";"2";"46";"-";"-";"5";"131";"21";"18";"1";"-";"3";"2";"3";"2";"6";"3";"4";"17";"-";"-"
"Capim Branco (MG)";"204";"4";"-";"20";"-";"1";"16";"82";"10";"10";"1";"2";"2";"7";"12";"2";"3";"2";"3";"27";"-";"-"
"Capinópolis (MG)";"354";"11";"8";"29";"-";"-";"13";"153";"21";"17";"3";"1";"2";"22";"9";"3";"9";"11";"3";"39";"-";"-"
"Capitão Andrade (MG)";"67";"-";"-";"3";"-";"-";"2";"41";"1";"4";"-";"-";"-";"2";"1";"2";"2";"-";"-";"9";"-";"-"
"Capitão Enéas (MG)";"158";"2";"2";"10";"-";"1";"7";"91";"4";"3";"1";"1";"1";"-";"4";"3";"13";"1";"1";"13";"-";"-"
"Capitólio (MG)";"357";"3";"6";"29";"-";"1";"23";"128";"5";"33";"5";"8";"24";"12";"16";"4";"9";"8";"6";"37";"-";"-"
"Caputira (MG)";"120";"-";"1";"9";"-";"-";"2";"68";"4";"1";"1";"-";"-";"2";"6";"2";"5";"2";"4";"13";"-";"-"
"Caraí (MG)";"117";"1";"6";"7";"-";"-";"1";"52";"4";"3";"1";"-";"-";"2";"-";"3";"6";"3";"2";"26";"-";"-"
"Caranaíba (MG)";"25";"-";"-";"-";"-";"-";"-";"11";"-";"1";"-";"-";"-";"-";"2";"2";"4";"1";"1";"3";"-";"-"
"Carandaí (MG)";"491";"7";"1";"49";"-";"1";"18";"221";"55";"29";"2";"2";"2";"23";"9";"3";"13";"19";"7";"30";"-";"-"
"Carangola (MG)";"1016";"3";"1";"68";"1";"3";"22";"479";"30";"64";"9";"13";"8";"55";"67";"8";"42";"65";"16";"62";"-";"-"
"Caratinga (MG)";"2668";"20";"5";"146";"-";"3";"150";"1403";"69";"136";"33";"52";"20";"107";"134";"5";"49";"167";"28";"141";"-";"-"
"Carbonita (MG)";"220";"8";"1";"15";"-";"-";"5";"95";"36";"8";"1";"-";"1";"2";"4";"2";"11";"5";"3";"23";"-";"-"
"Careaçu (MG)";"175";"2";"7";"21";"-";"1";"8";"73";"10";"19";"2";"-";"4";"4";"10";"2";"6";"4";"2";"-";"-";"-"
"Carlos Chagas (MG)";"277";"7";"-";"13";"-";"2";"5";"125";"11";"17";"4";"2";"-";"10";"7";"3";"17";"10";"4";"40";"-";"-"
"Carmésia (MG)";"34";"1";"-";"-";"-";"-";"-";"18";"4";"1";"-";"-";"-";"1";"1";"4";"2";"-";"-";"2";"-";"-"
"Carmo da Cachoeira (MG)";"219";"5";"-";"13";"-";"-";"7";"100";"23";"19";"2";"2";"1";"5";"5";"2";"6";"7";"4";"18";"-";"-"
"Carmo da Mata (MG)";"255";"3";"1";"37";"-";"1";"8";"122";"10";"15";"3";"1";"3";"6";"3";"2";"11";"7";"5";"17";"-";"-"
"Carmo de Minas (MG)";"256";"2";"1";"27";"-";"1";"8";"114";"9";"28";"1";"-";"2";"6";"13";"3";"18";"8";"4";"11";"-";"-"
"Carmo do Cajuru (MG)";"495";"1";"4";"136";"-";"4";"16";"191";"31";"17";"2";"3";"10";"12";"19";"4";"7";"8";"2";"28";"-";"-"
"Carmo do Paranaíba (MG)";"783";"14";"2";"78";"-";"-";"31";"426";"55";"26";"11";"4";"9";"13";"25";"5";"21";"20";"9";"34";"-";"-"
"Carmo do Rio Claro (MG)";"676";"16";"6";"92";"1";"-";"14";"271";"31";"48";"14";"4";"16";"29";"26";"2";"17";"23";"10";"56";"-";"-"
"Carmópolis de Minas (MG)";"475";"4";"3";"76";"-";"3";"13";"219";"42";"35";"2";"1";"-";"13";"15";"2";"9";"14";"6";"18";"-";"-"
"Carneirinho (MG)";"273";"4";"-";"23";"-";"-";"5";"120";"34";"9";"2";"-";"-";"6";"4";"2";"7";"8";"3";"46";"-";"-"
"Carrancas (MG)";"82";"1";"-";"6";"-";"-";"-";"29";"4";"20";"-";"-";"-";"-";"6";"2";"2";"-";"2";"10";"-";"-"
"Carvalhópolis (MG)";"68";"1";"-";"12";"-";"-";"2";"32";"8";"1";"-";"-";"-";"1";"1";"4";"-";"1";"-";"5";"-";"-"
"Carvalhos (MG)";"84";"1";"-";"8";"1";"-";"3";"40";"3";"10";"1";"-";"-";"2";"2";"2";"1";"4";"2";"4";"-";"-"
"Casa Grande (MG)";"33";"1";"-";"2";"-";"-";"-";"14";"2";"3";"-";"1";"-";"-";"2";"2";"2";"-";"1";"3";"-";"-"
"Cascalho Rico (MG)";"55";"-";"1";"10";"-";"-";"-";"22";"14";"3";"1";"-";"-";"-";"-";"2";"2";"-";"-";"-";"-";"-"
"Cássia (MG)";"507";"2";"4";"82";"-";"-";"11";"194";"46";"28";"6";"3";"3";"29";"15";"2";"9";"15";"6";"52";"-";"-"
"Conceição da Barra de Minas (MG)";"55";"1";"1";"1";"-";"-";"1";"28";"9";"3";"-";"-";"-";"-";"1";"1";"1";"-";"1";"7";"-";"-"
"Cataguases (MG)";"2094";"11";"10";"219";"11";"10";"79";"867";"88";"143";"32";"29";"8";"78";"153";"2";"80";"66";"41";"167";"-";"-"
"Catas Altas (MG)";"111";"1";"2";"4";"-";"-";"6";"36";"11";"15";"2";"-";"-";"4";"5";"2";"4";"-";"4";"15";"-";"-"
"Catas Altas da Noruega (MG)";"46";"-";"-";"2";"-";"-";"4";"22";"2";"-";"-";"-";"-";"2";"2";"2";"-";"1";"-";"9";"-";"-"
"Catuji (MG)";"59";"1";"1";"-";"1";"-";"3";"34";"5";"4";"-";"-";"-";"-";"1";"2";"3";"1";"-";"3";"-";"-"
"Catuti (MG)";"56";"-";"-";"1";"-";"-";"2";"36";"3";"1";"-";"-";"-";"-";"1";"2";"1";"-";"-";"9";"-";"-"
"Caxambu (MG)";"705";"3";"2";"45";"2";"1";"17";"350";"19";"69";"15";"2";"5";"23";"52";"3";"24";"24";"8";"41";"-";"-"
"Cedro do Abaeté (MG)";"16";"1";"1";"-";"-";"-";"2";"7";"-";"1";"-";"-";"-";"-";"1";"2";"-";"-";"-";"1";"-";"-"
"Central de Minas (MG)";"162";"1";"1";"10";"-";"2";"8";"103";"7";"7";"3";"-";"-";"1";"1";"2";"2";"5";"1";"8";"-";"-"
"Centralina (MG)";"149";"4";"-";"5";"-";"-";"6";"67";"18";"9";"1";"-";"-";"3";"8";"2";"3";"5";"-";"18";"-";"-"
"Chácara (MG)";"61";"-";"1";"9";"-";"-";"3";"21";"1";"8";"1";"-";"-";"2";"3";"5";"2";"1";"-";"4";"-";"-"
"Chalé (MG)";"88";"-";"3";"3";"-";"-";"1";"50";"1";"3";"-";"-";"-";"3";"1";"2";"6";"3";"1";"11";"-";"-"
"Chapada do Norte (MG)";"139";"2";"1";"4";"-";"-";"3";"80";"13";"2";"-";"-";"-";"1";"1";"2";"8";"-";"1";"21";"-";"-"
"Chapada Gaúcha (MG)";"134";"1";"-";"5";"-";"1";"2";"76";"10";"9";"-";"1";"-";"5";"1";"3";"4";"1";"-";"15";"-";"-"
"Chiador (MG)";"37";"-";"-";"3";"-";"-";"1";"15";"3";"2";"-";"-";"-";"-";"-";"3";"1";"-";"1";"8";"-";"-"
"Cipotânea (MG)";"71";"-";"2";"8";"-";"-";"2";"37";"6";"2";"-";"1";"-";"2";"1";"2";"-";"3";"-";"5";"-";"-"
"Claraval (MG)";"84";"1";"-";"10";"-";"1";"2";"31";"15";"9";"1";"-";"1";"3";"1";"2";"1";"-";"-";"6";"-";"-"
"Claro dos Poções (MG)";"110";"2";"-";"5";"-";"-";"-";"52";"11";"4";"-";"-";"-";"1";"2";"2";"5";"6";"-";"20";"-";"-"
"Cláudio (MG)";"818";"5";"3";"207";"-";"3";"31";"314";"30";"28";"18";"4";"18";"34";"30";"2";"25";"23";"6";"37";"-";"-"
"Coimbra (MG)";"153";"2";"-";"23";"-";"-";"5";"82";"9";"11";"1";"-";"-";"3";"2";"3";"4";"3";"1";"4";"-";"-"
"Coluna (MG)";"115";"-";"1";"10";"-";"-";"2";"67";"2";"4";"2";"-";"-";"3";"1";"2";"6";"4";"1";"10";"-";"-"
"Comendador Gomes (MG)";"45";"-";"3";"3";"-";"1";"1";"25";"-";"3";"-";"1";"-";"-";"2";"3";"1";"1";"-";"1";"-";"-"
"Comercinho (MG)";"66";"-";"1";"2";"-";"-";"1";"39";"1";"4";"1";"-";"-";"-";"1";"2";"2";"1";"-";"11";"-";"-"
"Conceição da Aparecida (MG)";"187";"1";"1";"14";"1";"1";"8";"96";"15";"8";"3";"1";"-";"7";"3";"2";"5";"3";"2";"16";"-";"-"
"Conceição das Pedras (MG)";"54";"-";"-";"7";"1";"-";"2";"20";"1";"2";"-";"-";"-";"1";"1";"4";"3";"2";"-";"10";"-";"-"
"Conceição das Alagoas (MG)";"609";"34";"5";"33";"-";"2";"15";"328";"68";"43";"2";"-";"1";"10";"14";"3";"5";"12";"7";"27";"-";"-"
"Conceição de Ipanema (MG)";"45";"-";"1";"2";"-";"-";"-";"23";"1";"1";"-";"-";"-";"-";"1";"2";"1";"1";"-";"12";"-";"-"
"Conceição do Mato Dentro (MG)";"341";"3";"1";"18";"-";"1";"8";"142";"24";"51";"5";"-";"4";"10";"15";"2";"14";"14";"8";"21";"-";"-"
"Conceição do Pará (MG)";"116";"2";"4";"11";"-";"-";"5";"31";"9";"6";"2";"1";"2";"2";"6";"4";"3";"3";"6";"19";"-";"-"
"Conceição do Rio Verde (MG)";"249";"1";"4";"32";"-";"1";"7";"117";"10";"20";"5";"-";"1";"7";"7";"2";"12";"8";"5";"10";"-";"-"
"Conceição dos Ouros (MG)";"404";"-";"6";"182";"-";"1";"14";"134";"11";"14";"5";"1";"-";"6";"3";"3";"2";"7";"4";"11";"-";"-"
"Cônego Marinho (MG)";"47";"-";"-";"-";"-";"2";"1";"21";"8";"-";"-";"-";"-";"-";"-";"2";"3";"3";"-";"7";"-";"-"
"Confins (MG)";"202";"1";"-";"29";"-";"-";"16";"66";"15";"18";"2";"1";"2";"11";"23";"2";"2";"2";"5";"7";"-";"-"
"Congonhal (MG)";"256";"1";"2";"57";"-";"-";"6";"121";"14";"24";"1";"1";"2";"4";"6";"2";"3";"4";"5";"3";"-";"-"
"Congonhas (MG)";"1349";"9";"14";"55";"-";"2";"53";"556";"162";"139";"8";"6";"7";"60";"78";"4";"30";"38";"36";"92";"-";"-"
"Congonhas do Norte (MG)";"49";"-";"1";"3";"-";"-";"1";"20";"3";"2";"-";"-";"-";"2";"1";"3";"4";"-";"2";"7";"-";"-"
"Conquista (MG)";"188";"16";"-";"15";"-";"-";"8";"70";"19";"13";"4";"-";"-";"8";"5";"2";"7";"9";"2";"10";"-";"-"
"Conselheiro Lafaiete (MG)";"3199";"9";"6";"185";"-";"7";"144";"1419";"216";"239";"45";"21";"40";"112";"253";"3";"129";"162";"53";"156";"-";"-"
"Conselheiro Pena (MG)";"336";"3";"17";"21";"-";"1";"7";"153";"15";"13";"3";"2";"1";"9";"6";"2";"21";"14";"3";"45";"-";"-"
"Consolação (MG)";"23";"1";"-";"6";"-";"-";"-";"4";"1";"2";"-";"-";"-";"1";"2";"4";"1";"-";"-";"1";"-";"-"
"Contagem (MG)";"16321";"39";"9";"2081";"3";"57";"814";"6919";"1019";"1035";"215";"151";"222";"633";"1348";"8";"518";"318";"155";"777";"-";"-"
"Coqueiral (MG)";"170";"2";"1";"28";"-";"1";"2";"90";"6";"6";"-";"2";"-";"1";"3";"3";"5";"3";"5";"12";"-";"-"
"Coração de Jesus (MG)";"398";"6";"1";"16";"-";"1";"6";"200";"5";"9";"1";"-";"1";"16";"8";"5";"39";"14";"6";"64";"-";"-"
"Cordisburgo (MG)";"151";"7";"1";"9";"-";"-";"4";"72";"12";"12";"2";"-";"-";"2";"4";"2";"5";"3";"1";"15";"-";"-"
"Cordislândia (MG)";"45";"2";"3";"5";"-";"-";"1";"19";"1";"2";"-";"-";"-";"-";"1";"2";"1";"1";"1";"6";"-";"-"
"Corinto (MG)";"524";"21";"5";"37";"-";"1";"12";"274";"30";"28";"3";"1";"-";"11";"21";"3";"9";"13";"6";"49";"-";"-"
"Coroaci (MG)";"222";"3";"-";"14";"-";"1";"4";"99";"46";"17";"2";"-";"-";"3";"6";"3";"13";"1";"2";"8";"-";"-"
"Coromandel (MG)";"835";"11";"14";"74";"-";"-";"17";"392";"105";"35";"7";"6";"5";"35";"31";"3";"18";"31";"10";"41";"-";"-"
"Coronel Fabriciano (MG)";"2410";"8";"2";"206";"-";"2";"118";"1155";"102";"137";"37";"22";"25";"110";"139";"3";"73";"109";"35";"127";"-";"-"
"Coronel Murta (MG)";"114";"-";"8";"4";"-";"-";"4";"62";"-";"4";"-";"-";"-";"1";"1";"2";"9";"4";"1";"14";"-";"-"
"Coronel Pacheco (MG)";"65";"1";"-";"6";"-";"1";"5";"29";"-";"11";"3";"-";"1";"2";"2";"2";"1";"-";"-";"1";"-";"-"
"Coronel Xavier Chaves (MG)";"67";"2";"1";"8";"-";"-";"2";"15";"-";"6";"-";"-";"-";"3";"3";"1";"2";"2";"1";"21";"-";"-"
"Córrego Danta (MG)";"59";"1";"-";"5";"-";"-";"2";"25";"4";"2";"2";"-";"-";"3";"2";"3";"1";"1";"-";"8";"-";"-"
"Córrego do Bom Jesus (MG)";"40";"2";"-";"6";"-";"-";"1";"15";"1";"6";"-";"-";"2";"1";"1";"2";"1";"-";"1";"1";"-";"-"
"Córrego Fundo (MG)";"224";"3";"8";"92";"-";"-";"3";"58";"28";"9";"-";"-";"-";"3";"5";"3";"4";"2";"1";"5";"-";"-"
"Córrego Novo (MG)";"41";"-";"-";"1";"-";"-";"1";"24";"1";"-";"-";"-";"-";"1";"3";"2";"1";"-";"-";"7";"-";"-"
"Couto de Magalhães de Minas (MG)";"106";"3";"1";"9";"-";"-";"1";"48";"3";"5";"1";"-";"3";"4";"2";"2";"2";"-";"-";"22";"-";"-"
"Crisólita (MG)";"43";"1";"1";"1";"-";"-";"-";"19";"1";"-";"-";"-";"-";"-";"1";"2";"1";"-";"-";"16";"-";"-"
"Cristais (MG)";"301";"2";"-";"93";"-";"-";"4";"147";"23";"10";"1";"-";"2";"3";"2";"2";"2";"3";"1";"6";"-";"-"
"Cristália (MG)";"95";"-";"-";"3";"-";"-";"1";"44";"3";"5";"1";"-";"-";"-";"1";"2";"2";"-";"-";"33";"-";"-"
"Cristiano Otoni (MG)";"106";"-";"3";"15";"-";"1";"5";"42";"5";"10";"-";"-";"-";"1";"5";"2";"6";"-";"3";"8";"-";"-"
"Cristina (MG)";"215";"3";"-";"62";"-";"-";"5";"69";"15";"11";"1";"-";"-";"7";"3";"2";"12";"9";"4";"12";"-";"-"
"Crucilândia (MG)";"79";"1";"-";"5";"-";"1";"3";"49";"1";"1";"-";"-";"1";"1";"2";"2";"2";"1";"1";"8";"-";"-"
"Cruzeiro da Fortaleza (MG)";"79";"2";"-";"5";"-";"-";"2";"44";"1";"3";"-";"-";"-";"-";"1";"3";"1";"4";"1";"12";"-";"-"
"Cruzília (MG)";"391";"4";"1";"84";"-";"-";"10";"183";"14";"18";"4";"-";"-";"11";"10";"2";"11";"11";"5";"23";"-";"-"
"Cuparaque (MG)";"55";"-";"2";"4";"-";"-";"7";"26";"-";"2";"-";"-";"-";"1";"4";"4";"2";"1";"-";"2";"-";"-"
"Curral de Dentro (MG)";"92";"3";"5";"4";"-";"-";"2";"61";"1";"1";"-";"-";"-";"-";"3";"2";"2";"2";"1";"5";"-";"-"
"Curvelo (MG)";"2076";"65";"10";"137";"-";"1";"54";"979";"111";"153";"27";"17";"17";"52";"92";"7";"67";"93";"30";"164";"-";"-"
"Datas (MG)";"68";"4";"2";"12";"-";"-";"-";"27";"3";"4";"-";"1";"-";"-";"1";"2";"6";"1";"-";"5";"-";"-"
"Delfim Moreira (MG)";"141";"7";"2";"19";"-";"-";"3";"58";"9";"17";"-";"-";"-";"3";"5";"2";"7";"2";"3";"4";"-";"-"
"Delfinópolis (MG)";"159";"5";"-";"5";"-";"1";"9";"67";"10";"22";"1";"1";"4";"7";"2";"2";"4";"4";"2";"13";"-";"-"
"Delta (MG)";"215";"6";"1";"25";"-";"-";"8";"65";"60";"18";"-";"1";"1";"-";"11";"2";"2";"1";"4";"10";"-";"-"
"Descoberto (MG)";"162";"-";"2";"49";"-";"-";"2";"67";"4";"14";"-";"-";"-";"1";"2";"3";"6";"2";"3";"7";"-";"-"
"Desterro de Entre Rios (MG)";"111";"1";"3";"7";"-";"-";"2";"56";"9";"6";"1";"-";"-";"2";"2";"2";"6";"3";"2";"9";"-";"-"
"Desterro do Melo (MG)";"87";"1";"-";"6";"-";"-";"5";"31";"8";"4";"-";"-";"-";"3";"2";"2";"2";"1";"2";"20";"-";"-"
"Diamantina (MG)";"1105";"7";"20";"53";"-";"-";"27";"482";"42";"135";"13";"6";"16";"35";"37";"3";"56";"51";"17";"105";"-";"-"
"Diogo de Vasconcelos (MG)";"27";"1";"-";"-";"-";"-";"2";"13";"1";"2";"-";"-";"-";"-";"1";"2";"1";"-";"-";"4";"-";"-"
"Dionísio (MG)";"199";"7";"-";"12";"-";"-";"11";"123";"10";"10";"2";"1";"-";"2";"4";"2";"5";"2";"3";"5";"-";"-"
"Divinésia (MG)";"110";"1";"1";"30";"-";"-";"6";"27";"6";"5";"2";"1";"7";"5";"3";"2";"-";"-";"3";"11";"-";"-"
"Divino (MG)";"343";"1";"1";"24";"-";"-";"10";"184";"21";"22";"6";"3";"2";"10";"11";"2";"9";"11";"2";"24";"-";"-"
"Divino das Laranjeiras (MG)";"64";"-";"3";"2";"-";"-";"5";"31";"2";"1";"-";"-";"-";"1";"1";"2";"4";"-";"-";"12";"-";"-"
"Divinolândia de Minas (MG)";"81";"1";"-";"7";"-";"1";"1";"52";"1";"4";"-";"-";"-";"3";"2";"3";"1";"1";"-";"4";"-";"-"
"Divinópolis (MG)";"7942";"37";"11";"1276";"1";"13";"366";"3189";"277";"396";"127";"136";"114";"393";"626";"4";"189";"370";"106";"311";"-";"-"
"Divisa Alegre (MG)";"56";"-";"-";"6";"-";"-";"2";"31";"2";"5";"-";"-";"-";"1";"1";"2";"1";"-";"2";"3";"-";"-"
"Divisa Nova (MG)";"98";"1";"-";"11";"1";"1";"4";"53";"5";"9";"-";"-";"-";"1";"3";"2";"1";"5";"-";"1";"-";"-"
"Divisópolis (MG)";"85";"1";"-";"5";"-";"-";"-";"55";"1";"2";"-";"-";"-";"4";"2";"2";"2";"2";"1";"8";"-";"-"
"Dom Bosco (MG)";"61";"2";"1";"1";"-";"-";"-";"25";"4";"3";"-";"-";"-";"1";"1";"2";"1";"4";"-";"16";"-";"-"
"Dom Cavati (MG)";"109";"-";"1";"9";"-";"-";"1";"65";"3";"5";"1";"-";"-";"3";"5";"2";"1";"2";"1";"10";"-";"-"
"Dom Joaquim (MG)";"49";"2";"-";"2";"-";"-";"-";"26";"1";"9";"1";"-";"1";"-";"1";"2";"-";"2";"-";"2";"-";"-"
"Dom Silvério (MG)";"144";"2";"-";"32";"-";"-";"3";"62";"7";"4";"1";"1";"-";"6";"3";"5";"2";"5";"2";"9";"-";"-"
"Dom Viçoso (MG)";"32";"-";"-";"4";"-";"-";"-";"16";"2";"-";"-";"-";"-";"-";"1";"2";"1";"-";"1";"5";"-";"-"
"Dona Eusébia (MG)";"165";"8";"-";"40";"-";"-";"2";"71";"4";"6";"-";"1";"1";"6";"3";"2";"3";"2";"1";"15";"-";"-"
"Dores de Campos (MG)";"307";"1";"2";"135";"-";"-";"3";"110";"7";"12";"3";"-";"-";"2";"11";"2";"3";"5";"4";"7";"-";"-"
"Dores de Guanhães (MG)";"65";"1";"4";"5";"-";"-";"2";"32";"3";"2";"-";"1";"-";"-";"2";"2";"2";"2";"-";"7";"-";"-"
"Dores do Indaiá (MG)";"379";"7";"1";"43";"-";"-";"13";"168";"17";"23";"9";"6";"3";"17";"11";"3";"14";"12";"4";"28";"-";"-"
"Dores do Turvo (MG)";"64";"4";"-";"8";"-";"-";"2";"28";"7";"2";"-";"-";"-";"1";"1";"3";"2";"2";"-";"4";"-";"-"
"Doresópolis (MG)";"40";"-";"2";"5";"-";"1";"1";"10";"3";"2";"-";"-";"-";"1";"1";"2";"1";"-";"1";"10";"-";"-"
"Douradoquara (MG)";"37";"1";"1";"1";"-";"-";"2";"13";"6";"-";"-";"-";"-";"1";"1";"2";"1";"1";"-";"7";"-";"-"
"Durandé (MG)";"116";"-";"4";"8";"2";"-";"4";"68";"5";"2";"-";"-";"-";"4";"2";"2";"4";"3";"-";"8";"-";"-"
"Elói Mendes (MG)";"682";"4";"-";"73";"-";"-";"24";"290";"102";"47";"3";"14";"13";"21";"17";"3";"11";"21";"8";"31";"-";"-"
"Engenheiro Caldas (MG)";"280";"-";"3";"39";"-";"-";"7";"123";"16";"9";"3";"-";"2";"11";"6";"3";"8";"17";"3";"30";"-";"-"
"Engenheiro Navarro (MG)";"112";"5";"-";"5";"-";"-";"6";"52";"15";"3";"1";"-";"-";"-";"1";"2";"-";"1";"-";"21";"-";"-"
"Entre Folhas (MG)";"50";"-";"1";"4";"-";"-";"2";"27";"-";"2";"-";"-";"-";"1";"-";"2";"2";"2";"-";"7";"-";"-"
"Entre Rios de Minas (MG)";"440";"5";"9";"31";"-";"-";"10";"191";"24";"31";"6";"4";"7";"21";"15";"3";"17";"11";"14";"41";"-";"-"
"Ervália (MG)";"401";"4";"5";"75";"-";"-";"10";"181";"21";"13";"3";"-";"6";"15";"4";"2";"11";"8";"11";"32";"-";"-"
"Esmeraldas (MG)";"928";"22";"45";"75";"-";"5";"75";"367";"51";"44";"7";"12";"12";"23";"47";"2";"42";"11";"15";"73";"-";"-"
"Espera Feliz (MG)";"750";"2";"7";"59";"-";"1";"26";"417";"24";"54";"10";"2";"5";"29";"17";"3";"16";"21";"11";"46";"-";"-"
"Espinosa (MG)";"631";"1";"1";"81";"-";"-";"12";"300";"13";"18";"5";"2";"1";"12";"18";"5";"25";"25";"6";"106";"-";"-"
"Espírito Santo do Dourado (MG)";"69";"2";"1";"8";"-";"-";"1";"33";"6";"2";"-";"1";"-";"1";"1";"2";"3";"1";"-";"7";"-";"-"
"Estiva (MG)";"193";"3";"3";"21";"-";"-";"2";"106";"6";"21";"3";"-";"1";"2";"5";"2";"6";"3";"2";"7";"-";"-"
"Estrela Dalva (MG)";"29";"-";"-";"-";"-";"-";"-";"13";"1";"2";"-";"-";"-";"2";"2";"2";"1";"-";"1";"5";"-";"-"
"Estrela do Indaiá (MG)";"65";"1";"-";"3";"-";"-";"3";"30";"4";"-";"1";"-";"-";"3";"1";"3";"2";"2";"1";"11";"-";"-"
"Estrela do Sul (MG)";"137";"5";"3";"15";"-";"-";"1";"66";"7";"9";"-";"-";"2";"8";"6";"2";"3";"1";"1";"8";"-";"-"
"Eugenópolis (MG)";"307";"1";"-";"102";"-";"-";"5";"123";"18";"14";"1";"-";"2";"6";"2";"2";"6";"8";"3";"14";"-";"-"
"Ewbank da Câmara (MG)";"85";"1";"-";"9";"-";"-";"13";"30";"2";"2";"4";"1";"1";"5";"8";"2";"1";"-";"1";"5";"-";"-"
"Extrema (MG)";"1155";"5";"1";"156";"-";"3";"41";"406";"93";"114";"14";"7";"21";"55";"71";"5";"43";"50";"18";"52";"-";"-"
"Fama (MG)";"51";"1";"-";"3";"-";"-";"1";"17";"10";"7";"1";"-";"1";"-";"1";"3";"1";"3";"1";"1";"-";"-"
"Faria Lemos (MG)";"61";"2";"2";"6";"1";"-";"1";"26";"2";"2";"-";"-";"-";"1";"1";"2";"4";"1";"1";"9";"-";"-"
"Felício dos Santos (MG)";"84";"-";"1";"3";"-";"-";"-";"33";"-";"3";"-";"-";"-";"-";"1";"2";"2";"1";"3";"35";"-";"-"
"São Gonçalo do Rio Preto (MG)";"67";"1";"-";"7";"-";"-";"2";"24";"1";"1";"-";"-";"-";"1";"1";"2";"2";"1";"1";"23";"-";"-"
"Felisburgo (MG)";"85";"-";"1";"4";"-";"1";"1";"43";"-";"3";"-";"-";"-";"1";"2";"3";"3";"4";"-";"19";"-";"-"
"Felixlândia (MG)";"286";"17";"3";"23";"-";"-";"1";"129";"19";"21";"2";"-";"-";"3";"10";"3";"7";"5";"3";"40";"-";"-"
"Fernandes Tourinho (MG)";"44";"-";"1";"1";"-";"-";"1";"20";"4";"2";"-";"-";"-";"2";"1";"2";"2";"-";"1";"7";"-";"-"
"Ferros (MG)";"167";"2";"2";"11";"-";"-";"4";"64";"14";"10";"-";"1";"1";"6";"5";"2";"14";"6";"3";"22";"-";"-"
"Fervedouro (MG)";"153";"-";"1";"15";"-";"1";"7";"85";"3";"13";"1";"1";"1";"2";"3";"2";"5";"3";"-";"10";"-";"-"
"Florestal (MG)";"190";"7";"1";"13";"-";"-";"12";"54";"6";"22";"3";"2";"9";"5";"19";"3";"10";"3";"6";"15";"-";"-"
"Formiga (MG)";"2257";"18";"11";"325";"-";"1";"60";"943";"127";"110";"43";"25";"42";"96";"133";"4";"49";"130";"31";"109";"-";"-"
"Formoso (MG)";"76";"1";"1";"-";"1";"-";"1";"44";"2";"4";"-";"-";"-";"2";"1";"2";"3";"1";"1";"12";"-";"-"
"Fortaleza de Minas (MG)";"79";"-";"-";"2";"-";"-";"3";"26";"11";"6";"-";"-";"-";"4";"2";"3";"2";"-";"1";"19";"-";"-"
"Fortuna de Minas (MG)";"72";"2";"16";"9";"-";"-";"5";"15";"2";"-";"-";"1";"-";"4";"3";"2";"2";"1";"1";"9";"-";"-"
"Francisco Badaró (MG)";"63";"-";"-";"4";"-";"-";"1";"38";"1";"1";"1";"-";"2";"1";"2";"2";"4";"2";"1";"3";"-";"-"
"Francisco Dumont (MG)";"87";"9";"-";"3";"-";"-";"3";"45";"11";"3";"-";"-";"1";"-";"2";"2";"3";"-";"-";"5";"-";"-"
"Francisco Sá (MG)";"622";"8";"3";"23";"-";"2";"25";"271";"41";"19";"1";"1";"2";"14";"13";"5";"24";"16";"7";"147";"-";"-"
"Franciscópolis (MG)";"62";"1";"12";"1";"-";"-";"1";"18";"2";"1";"-";"1";"-";"1";"1";"2";"4";"-";"-";"17";"-";"-"
"Frei Gaspar (MG)";"64";"-";"-";"2";"-";"1";"-";"18";"-";"-";"-";"-";"-";"3";"2";"3";"6";"1";"-";"28";"-";"-"
"Frei Inocêncio (MG)";"147";"1";"2";"6";"-";"-";"3";"85";"7";"8";"2";"1";"1";"4";"5";"2";"4";"1";"-";"15";"-";"-"
"Frei Lagonegro (MG)";"20";"-";"-";"1";"-";"-";"-";"9";"-";"1";"-";"-";"-";"-";"1";"2";"1";"-";"-";"5";"-";"-"
"Fronteira (MG)";"337";"7";"-";"12";"-";"-";"13";"165";"39";"40";"3";"1";"-";"7";"19";"2";"5";"6";"3";"15";"-";"-"
